30,Carter,2022-08-05,temp,Trending,https://image.tmdb.org/t/p/original//uzAh3Ub2YttCz13cnyB9PvhpmIL.jpg,https://image.tmdb.org/t/p/original//gt7ekbyM4q6N8aAZN0Oct3xY8tm.jpg,"A man wakes up missing his memories. Directed by a mysterious voice from a device in his ear, he sets off on a hostage rescue mission rife with danger."
129,Celebrity Treasure Island,2019-08-18,temp,Netflix Originals,https://image.tmdb.org/t/p/original//2aqyNa682MJsGRXXVb7K5Ctwy8f.jpg,https://image.tmdb.org/t/p/original//h0rxqReQDf9wGf6fvoC6NKyz3eA.jpg,"Kiwi stars face off in paradise for the chance to win money for their chosen charities. With eliminations each week until the final celebrities remain, it will be a treasure hunt to end all treasure hunts!"
74,Constantine: The House of Mystery,2022-05-02,temp,Horror,https://image.tmdb.org/t/p/original//kqYDoEb9PxLXM2ccoHInMMJalti.jpg,https://image.tmdb.org/t/p/original//vsAlkb3Fv485AmNiSoyjEBcIB7B.jpg,"John Constantine wakes up in the eerie House of Mystery with no recollection of how he got there. Fortunately, Zatanna and his friends are all there. Unfortunately, they have a bad habit of turning into demons and ripping him to shreds, over and over again!"
126,Creamerie,2021-04-19,temp,Netflix Originals,https://image.tmdb.org/t/p/original//vUJ3zb24i2iAbzL8lJcdMYaEqEk.jpg,https://image.tmdb.org/t/p/original//26WoKacrxqNL4mkawUbeteqp2EM.jpg,"Creamerie is set in a post-apocalyptic future where a viral plague has wiped out 99% of men, and Earth has become a planet run by and for women. There’ll be plenty to laugh at when three Kiwi-Asian women running a dairy farm encounter – shock, horror – a man!"
63,DC League of Super-Pets,2022-07-27,temp,Comedy,https://image.tmdb.org/t/p/original//r7XifzvtezNt31ypvsmb6Oqxw49.jpg,https://image.tmdb.org/t/p/original//7ef3yg5eCE6ZGKMsqUrfH8KdSMA.jpg,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes."
216,Dark Cloud,2022-05-09,temp,Horror,https://image.tmdb.org/t/p/original//q1ngkvPCnOYKeyNZjg8QqvaSnuZ.jpg,https://image.tmdb.org/t/p/original//qhRQLTYnGWvI4nYE05DaDjgvCna.jpg,"Following the aftermath of a horrific accident, a woman is voluntarily subjected to artificial intelligence for rehabilitation."
223,Dark Spell,2021-02-11,temp,Romance,https://image.tmdb.org/t/p/original//2AbGdSGlU6CpiV3lswHUgE5CdAA.jpg,https://image.tmdb.org/t/p/original//o2OSpKzXuB1edCDyVC2MXAxXwyJ.jpg,Terror strikes when a heartbroken woman uses black magic to get her husband back.
33,Dilwale Dulhania Le Jayenge,1995-10-19,temp,Top Rated,https://image.tmdb.org/t/p/original//2CAL2433ZeIihfX1Hb2139CX0pW.jpg,https://image.tmdb.org/t/p/original//90ez6ArvpO8bvpyIngBuwXOqJm5.jpg,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga."
55,Dog,2022-02-17,temp,Comedy,https://image.tmdb.org/t/p/original//rkpLvPDe0ZE62buUS32exdNr7zD.jpg,https://image.tmdb.org/t/p/original//t0mwKhUDa62hdhdKSsN4xMfhY5Z.jpg,An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.
222,Don't Blame Karma!,2022-08-03,temp,Romance,https://image.tmdb.org/t/p/original//7BtnZMhU4V8Mq33609UpWvLSHE3.jpg,https://image.tmdb.org/t/p/original//darIboeiaqC6AGCYZMZGXPEkOWJ.jpg,"The travails of Sara, a frustrated fashion designer who blames karma for her bad luck. Fate will put her face to face with her sister, Lucy, who enjoys very different luck, and in a series of events and reunions that will lead her to make a radical decision."
40,Dou kyu sei – Classmates,2016-02-20,temp,Top Rated,https://image.tmdb.org/t/p/original//cIfRCA5wEvj9tApca4UDUagQEiM.jpg,https://image.tmdb.org/t/p/original//3RMLbSEXOn1CzLoNT7xFeLfdxhq.jpg,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together."
59,Encanto,2021-11-24,temp,Comedy,https://image.tmdb.org/t/p/original//4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,https://image.tmdb.org/t/p/original//3G1Q5xF40HkUBJXxt2DQgQzKTp5.jpg,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family''s last hope."
121,Endangered,2022-06-12,temp,Documentaries,https://image.tmdb.org/t/p/original//6xsHWDAclu04VSsN19Dk6EMJMsQ.jpg,https://image.tmdb.org/t/p/original//pTxBbyGLT2L7nGAMUcPHmzkGTUC.jpg,A sobering look at the erosion of democracy & freedom of the press in the United States and abroad.
43,Gabriel's Inferno,2020-05-29,temp,Top Rated,https://image.tmdb.org/t/p/original//oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,https://image.tmdb.org/t/p/original//w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel''s Inferno is a captivating and wildly passionate tale of one man''s escape from his own personal hell as he tries to earn the impossible--forgiveness and love."
47,Gabriel's Inferno: Part II,2020-07-31,temp,Top Rated,https://image.tmdb.org/t/p/original//x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg,https://image.tmdb.org/t/p/original//jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell''s identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another''s arms?"
108,Girl in the Picture,2022-07-06,temp,Documentaries,https://image.tmdb.org/t/p/original//w6dnirDUhvWuHy91QECqGSYmOpa.jpg,https://image.tmdb.org/t/p/original//uv1fvCclsZDL7nHjn5DVV7pdE6y.jpg,"A young mother’s mysterious death and her son’s subsequent kidnapping blow open a decades-long mystery about the woman’s true identity, and the murderous federal fugitive at the center of it all."
123,Go Girls,2009-02-19,temp,Netflix Originals,https://image.tmdb.org/t/p/original//ipu0i0heAaD8yOPBXqa3O2dY1CT.jpg,https://image.tmdb.org/t/p/original//4N0LX4gTCWzbJ2iSUBr2h8EAaRP.jpg,"Amy, Britta and Cody are three young women suffering their quarter century crisis: 25 and what have they achieved? They make a vow that in one year they’ll each fulfill their ambition. Their mate-since-childhood Kevin, admires their pluck but, to be honest, since Amy, Britta and Cody are currently Tragically Poor; Tragically Unknown; and Tragically Single, he reckons it’s going to be a bit of an ask."
106,Harry Potter 20th Anniversary: Return to Hogwarts,2022-01-01,temp,Documentaries,https://image.tmdb.org/t/p/original//jntLBq0MLR3hrwKaTQswxACRPMs.jpg,https://image.tmdb.org/t/p/original//8rft8A9nH43IReybFtYt21ezfMK.jpg,"An enchanting making-of story told through all-new in-depth interviews and cast conversations, inviting fans on a magical first-person journey through one of the most beloved film franchises of all time."
61,Hotel Transylvania: Transformania,2022-02-25,temp,Comedy,https://image.tmdb.org/t/p/original//teCy1egGQa0y8ULJvlrDHQKnxBL.jpg,https://image.tmdb.org/t/p/original//m3Ys7UDzUzOyoPYKzp4GhKKokUr.jpg,"When Van Helsing''s mysterious invention, the '"Monsterfication Ray,'" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it''s too late, and before they drive each other crazy."
65,Hustle,2022-06-03,temp,Comedy,https://image.tmdb.org/t/p/original//xWic7kPq13oRxYjbGLApXCnc7pz.jpg,https://image.tmdb.org/t/p/original//e42d0nmC4GZjXjHyPvCeNiXZhW4.jpg,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team''s approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA."
